resting_hr_shift_bpm,max_hr_shift_bpm,linear_mae,cycling_mae,delta_mae
-5,-5,0.08794584926210043,0.0663355463267032,-0.021610302935397223
-5,0,0.06603679299463032,0.050662919052823545,-0.01537387394180679
-5,5,0.051514857297571735,0.052737289490321956,0.0012224321927502158
0,-5,0.0816979362385959,0.06333523226586728,-0.018362703972728607
0,0,0.06169785440145427,0.05095003969032746,-0.01074781471112681
0,5,0.050756285054393016,0.05726454399609169,0.006508258941698667
5,-5,0.07757996217371918,0.06299901614465504,-0.014580946029064129
5,0,0.06020851901642478,0.05407342467779319,-0.006135094338631592
5,5,0.0531766702038177,0.06541299138486811,0.012236321181050426
