dataset,target,hrr_band,n_complete_units_with_data,n_observations,comparator,comparator_mae,cychrr_t_mae,delta_mae_tail_minus_comparator,delta_ci_low,delta_ci_high,absolute_difference_percentage_points
ACTES external validation,vo2r,>=0.90,18,267,raw_hrr,0.08248493093217207,0.07088751448494364,-0.011597416447228408,-0.01913902807382317,-0.0033614118065557843,-1.1597416447228408
ACTES external validation,vo2r,>=0.90,18,267,scaled_linear,0.06672688876607989,0.07088751448494364,0.004160625718863762,0.0004765904874504611,0.008058738452768142,0.41606257188637624
ACTES external validation,vo2r,>=0.90,18,267,affine_linear,0.0658791133779616,0.07088751448494364,0.00500840110698204,-0.0011294232070953756,0.011173950173346927,0.500840110698204
ACTES external validation,power_fraction,<0.60,18,778,raw_hrr,0.12117028377424581,0.10203682218058005,-0.01913346159366572,-0.021996242230577216,-0.01586040079060028,-1.9133461593665722
ACTES external validation,power_fraction,<0.60,18,778,scaled_linear,0.10711066387433975,0.10203682218058005,-0.005073841693759683,-0.006066197753849358,-0.003958606736100754,-0.5073841693759683
ACTES external validation,power_fraction,<0.60,18,778,affine_linear,0.10381625072629065,0.10203682218058005,-0.001779428545710567,-0.00266825965457994,-0.0008382844995412436,-0.1779428545710567
ACTES external validation,power_fraction,0.60-<0.80,18,313,raw_hrr,0.10659020477090801,0.07732119129100894,-0.029269013479899058,-0.03562049239148751,-0.0200476083917971,-2.9269013479899058
ACTES external validation,power_fraction,0.60-<0.80,18,313,scaled_linear,0.08443918737783712,0.07732119129100894,-0.007117996086828197,-0.009456784172121133,-0.004205256440394035,-0.7117996086828197
ACTES external validation,power_fraction,0.60-<0.80,18,313,affine_linear,0.08372754081907935,0.07732119129100894,-0.006406349528070409,-0.008546740644061237,-0.0038321543580484042,-0.6406349528070409
ACTES external validation,power_fraction,0.80-<0.90,17,183,raw_hrr,0.09842568572004137,0.06301328452892627,-0.03541240119111513,-0.042934224781544975,-0.02634392744685722,-3.541240119111513
ACTES external validation,power_fraction,0.80-<0.90,17,183,scaled_linear,0.07078159508915853,0.06301328452892627,-0.0077683105602322855,-0.01117297762089636,-0.003841253206319307,-0.7768310560232285
ACTES external validation,power_fraction,0.80-<0.90,17,183,affine_linear,0.07157996009972013,0.06301328452892627,-0.008566675570793882,-0.012272111905400635,-0.00428931718600041,-0.8566675570793882
ACTES external validation,power_fraction,>=0.90,18,267,raw_hrr,0.05672639214431996,0.045158430826827384,-0.011567961317492579,-0.018850931620396784,-0.0033581658037973726,-1.1567961317492579
ACTES external validation,power_fraction,>=0.90,18,267,scaled_linear,0.04730463772328441,0.045158430826827384,-0.002146206896457036,-0.004880722276199097,0.0006170135738409925,-0.2146206896457036
ACTES external validation,power_fraction,>=0.90,18,267,affine_linear,0.04742032371645381,0.045158430826827384,-0.002261892889626442,-0.004743243904980475,0.0001343320840948588,-0.2261892889626442
