sport,target,family,n_tests,mae,sd_test_mae,rmse,absolute_bias,linear_mae,delta_mae_vs_linear,relative_mae_change_percent,external_dataset_available
Kayak,vo2r,tail,37,0.04165694402949761,0.03020205559260202,0.048006854892188686,0.03313003756606302,0.050980403151017685,-0.009323459121520078,-18.288319717483365,False
Cycling,vo2r,tail,195,0.04217787342181058,0.02435266405261864,0.04892974447497067,0.03393934170164381,0.05115308670553176,-0.008975213283721181,-17.545790218658674,True
Rowing,vo2r,tail,147,0.04612590472216803,0.025995939857177696,0.0537827901117979,0.037515348922119385,0.05197880662892639,-0.0058529019067583635,-11.26016983910747,False
Running,vo2r,tail,191,0.04328993305821682,0.02079287946739907,0.05160143892788183,0.0342469526066578,0.045924358003603574,-0.0026344249453867513,-5.736443708543589,False
