sport,target,family,n_tests,mae,sd_test_mae,rmse,absolute_bias,linear_mae,delta_mae_vs_linear,relative_mae_change_percent
Cycling,load_fraction,affine_linear,195,0.04245803516727564,0.02385115158453385,0.04851119110787725,0.0305617700879018,0.04633123176621952,-0.003873196598943876,-8.359796300015178
Cycling,load_fraction,exponential,195,0.03937425919660281,0.02569913635618306,0.0472389338351972,0.03226377708757404,0.04633123176621952,-0.006956972569616707,-15.01572978832195
Cycling,load_fraction,linear,195,0.04633123176621952,0.026680503341094938,0.05444201662325596,0.040715206491094426,0.04633123176621952,0.0,0.0
Cycling,load_fraction,power,195,0.04091288081834376,0.025406974471809382,0.049250926321234755,0.032988964913791476,0.04633123176621952,-0.005418350947875759,-11.694813069542269
Cycling,load_fraction,scaled_linear,195,0.04281955004719129,0.023435942458938284,0.04881801499534141,0.03028872411580992,0.04633123176621952,-0.0035116817190282285,-7.579512966000236
Cycling,load_fraction,tail,195,0.03667982431854015,0.025565791506934114,0.0432857919383196,0.030931884351434433,0.04633123176621952,-0.009651407447679367,-20.831320644309496
Cycling,vo2r,affine_linear,195,0.042889468179081604,0.022371388011027418,0.04862543556717289,0.03282955371844024,0.05115308670553176,-0.008263618526450155,-16.154682070352006
Cycling,vo2r,exponential,195,0.04741783629041485,0.02359027130458182,0.05527210629896948,0.03605639874994221,0.05115308670553176,-0.0037352504151169086,-7.30210170232596
Cycling,vo2r,linear,195,0.05115308670553176,0.024114515659735287,0.05856341865971573,0.04376354176411291,0.05115308670553176,0.0,0.0
Cycling,vo2r,power,195,0.04887930817592527,0.02300794345282691,0.05685068726725263,0.03733428600811693,0.05115308670553176,-0.0022737785296064877,-4.445046576946057
Cycling,vo2r,scaled_linear,195,0.04256826004306553,0.02352363635905609,0.0492409552584543,0.0337075347570744,0.05115308670553176,-0.008584826662466231,-16.78261707232979
Cycling,vo2r,tail,195,0.04217787342181058,0.02435266405261864,0.04892974447497067,0.03393934170164381,0.05115308670553176,-0.008975213283721181,-17.545790218658674
Kayak,load_fraction,affine_linear,37,0.05442202479038614,0.04089649910553666,0.060747985014036124,0.036415753172543426,0.07787790097806539,-0.023455876187679255,-30.118783240300342
Kayak,load_fraction,exponential,37,0.04852913787871651,0.04357147506548886,0.05828809790326793,0.040046010665005,0.07787790097806539,-0.029348763099348883,-37.68561136183559
Kayak,load_fraction,linear,37,0.07787790097806539,0.035074352581586664,0.08873804875188981,0.07599598229306337,0.07787790097806539,0.0,0.0
Kayak,load_fraction,power,37,0.052147909105869035,0.042721140059244614,0.06304021729195575,0.04219744094270102,0.07787790097806539,-0.025729991872196357,-33.03888721839499
Kayak,load_fraction,scaled_linear,37,0.05817148834931004,0.03592517151872334,0.06497360623968784,0.03536674219780511,0.07787790097806539,-0.019706412628755353,-25.304242129363168
Kayak,load_fraction,tail,37,0.040741471074787705,0.044762722599567456,0.047377085941538846,0.034872508385930465,0.07787790097806539,-0.03713642990327769,-47.68545304493672
Kayak,vo2r,affine_linear,37,0.0436689236542231,0.02844450422387232,0.05026293657596019,0.03370020087378386,0.050980403151017685,-0.007311479496794587,-14.341745150849466
Kayak,vo2r,exponential,37,0.04482331517164428,0.030608758428276588,0.05240270939113326,0.03473428337800722,0.050980403151017685,-0.006157087979373407,-12.077362278078608
Kayak,vo2r,linear,37,0.050980403151017685,0.03510276441030024,0.058991300716307454,0.045740986530695346,0.050980403151017685,0.0,0.0
Kayak,vo2r,power,37,0.04610235406655068,0.031105809231578636,0.054000608760853414,0.035638959200163065,0.050980403151017685,-0.004878049084467005,-9.56847883296825
Kayak,vo2r,scaled_linear,37,0.043668528642621184,0.028178690090412576,0.05023965994016562,0.033312685801003765,0.050980403151017685,-0.0073118745083965014,-14.342519981132279
Kayak,vo2r,tail,37,0.04165694402949761,0.03020205559260202,0.048006854892188686,0.03313003756606302,0.050980403151017685,-0.009323459121520078,-18.288319717483365
Rowing,load_fraction,affine_linear,147,0.05538768955895745,0.027230527317500898,0.06390413039966511,0.031419524395626244,0.08639678158192225,-0.031009092022964806,-35.89148976986103
Rowing,load_fraction,exponential,147,0.04817668070241481,0.029658435941887745,0.05853317589944595,0.035489436936825984,0.08639678158192225,-0.03822010087950744,-44.23787573992762
Rowing,load_fraction,linear,147,0.08639678158192225,0.034168995158029056,0.09953288647899793,0.08301159923758944,0.08639678158192225,0.0,0.0
Rowing,load_fraction,power,147,0.053209691757451945,0.029690776327022623,0.06527296126494009,0.03747972550937754,0.08639678158192225,-0.03318708982447031,-38.412414463612855
Rowing,load_fraction,scaled_linear,147,0.061537143559468245,0.02508405320610241,0.07077302370729067,0.02830523228039515,0.08639678158192225,-0.024859638022454007,-28.77380102276363
Rowing,load_fraction,tail,147,0.03966849207564562,0.027872315398364562,0.046602890077700916,0.0314889768049526,0.08639678158192225,-0.04672828950627663,-54.08568311305488
Rowing,vo2r,affine_linear,147,0.04620225284991822,0.025747105230335316,0.052687684220418675,0.03629847524102712,0.05197880662892639,-0.005776553779008174,-11.11328665209005
Rowing,vo2r,exponential,147,0.05016587106561169,0.026193602388561308,0.059234472808628355,0.040025761435197114,0.05197880662892639,-0.001812935563314702,-3.487836064142721
Rowing,vo2r,linear,147,0.05197880662892639,0.028809357425357437,0.060296138126879756,0.0442317152595945,0.05197880662892639,0.0,0.0
Rowing,vo2r,power,147,0.05094131352999618,0.026608497764181272,0.06021161366138967,0.040860344996028516,0.05197880662892639,-0.0010374930989302117,-1.995992532758232
Rowing,vo2r,scaled_linear,147,0.04592616692616991,0.02608329218274345,0.053510619218654916,0.03742171542729134,0.05197880662892639,-0.0060526397027564835,-11.644437599281412
Rowing,vo2r,tail,147,0.04612590472216803,0.025995939857177696,0.0537827901117979,0.037515348922119385,0.05197880662892639,-0.0058529019067583635,-11.26016983910747
Running,load_fraction,affine_linear,191,0.03186892414467914,0.016964711731598962,0.03701239537874263,0.02355964743874755,0.04107985503207274,-0.009210930887393602,-22.422014099617073
Running,load_fraction,exponential,191,0.035826377117065225,0.018136272081141915,0.044912911250168136,0.02804394835978972,0.04107985503207274,-0.005253477915007514,-12.788452906919723
Running,load_fraction,linear,191,0.04107985503207274,0.023343044945342648,0.0532337386105921,0.0341266828917624,0.04107985503207274,0.0,0.0
Running,load_fraction,power,191,0.03420466169039307,0.01783845953729749,0.042189111073022,0.02733508145248855,0.04107985503207274,-0.006875193341679665,-16.73616748723168
Running,load_fraction,scaled_linear,191,0.04109979089428817,0.020297624612906143,0.053066398104769846,0.030836522733402986,0.04107985503207274,1.99358622154297e-05,0.04852953400119097
Running,load_fraction,tail,191,0.04107985503207274,0.023343044945342648,0.0532337386105921,0.0341266828917624,0.04107985503207274,0.0,0.0
Running,vo2r,affine_linear,191,0.04113803433034403,0.019462681918208134,0.047016230900305205,0.031699814770704215,0.045924358003603574,-0.004786323673259547,-10.422189620775919
Running,vo2r,exponential,191,0.04595175552016704,0.0213848903640555,0.054537756832976354,0.03558277997417325,0.045924358003603574,2.7397516563464064e-05,0.05965791957573854
Running,vo2r,linear,191,0.045924358003603574,0.02199781674896839,0.05419271276503023,0.03601490404402608,0.045924358003603574,0.0,0.0
Running,vo2r,power,191,0.04610786463366511,0.02174312548611422,0.054512860683178545,0.03607563429145166,0.045924358003603574,0.0001835066300615376,0.3995845299506164
Running,vo2r,scaled_linear,191,0.042476461374824734,0.02050335782726981,0.05112688711395406,0.034258711785452214,0.045924358003603574,-0.0034478966287788404,-7.507773170194981
Running,vo2r,tail,191,0.04328993305821682,0.02079287946739907,0.05160143892788183,0.0342469526066578,0.045924358003603574,-0.0026344249453867513,-5.736443708543589
