target,representation,scale,intercept,slope
vo2r,continuous,0.9562951272111075,0.041711832578291884,0.9024695495439455
load_fraction,continuous,0.9610365988158506,-0.011378945975172226,0.9757201622677196
vo2r,10-bin midpoint,0.9621669838968057,0.04253588013147243,0.9068138783347516
load_fraction,10-bin midpoint,0.9666332875647752,-0.009315003731270461,0.9787551569901692
