file,raw_hrr_exact,raw_hrr_within_one,raw_hrr_bin_error,scaled_linear_exact,scaled_linear_within_one,scaled_linear_bin_error,affine_linear_exact,affine_linear_within_one,affine_linear_bin_error,cychrr_t_exact,cychrr_t_within_one,cychrr_t_bin_error,dataset,target,ID
A294.xlsx,0.25,1.0,0.75,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,Graded-test temporal holdout,vo2r,
A295.xlsx,0.14285714285714285,0.5714285714285714,1.2857142857142858,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.5714285714285714,Graded-test temporal holdout,vo2r,
A3000.xlsx,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.8888888888888888,1.0,0.1111111111111111,0.6666666666666666,1.0,0.3333333333333333,Graded-test temporal holdout,vo2r,
A3001.xlsx,0.5,0.7,0.8,0.4,0.7,0.9,0.4,0.8,0.8,0.4,0.7,0.9,Graded-test temporal holdout,vo2r,
A3002.xlsx,0.2222222222222222,0.8888888888888888,0.8888888888888888,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,Graded-test temporal holdout,vo2r,
A3003.xlsx,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.8571428571428571,1.0,0.14285714285714285,0.7142857142857143,1.0,0.2857142857142857,Graded-test temporal holdout,vo2r,
A3005.xlsx,0.0,0.0,6.7,0.0,0.0,6.5,0.0,0.0,6.6,0.0,0.0,6.5,Graded-test temporal holdout,vo2r,
A3008.xlsx,0.875,1.0,0.125,0.5,1.0,0.5,0.75,1.0,0.25,0.5,1.0,0.5,Graded-test temporal holdout,vo2r,
A3009.xlsx,0.9,1.0,0.1,0.7,1.0,0.3,0.7,1.0,0.3,0.6,1.0,0.4,Graded-test temporal holdout,vo2r,
A3010.xlsx,1.0,1.0,0.0,0.5714285714285714,1.0,0.42857142857142855,0.7142857142857143,1.0,0.2857142857142857,0.5714285714285714,1.0,0.42857142857142855,Graded-test temporal holdout,vo2r,
A3011.xlsx,0.8571428571428571,1.0,0.14285714285714285,1.0,1.0,0.0,0.8571428571428571,1.0,0.14285714285714285,1.0,1.0,0.0,Graded-test temporal holdout,vo2r,
A3012.xlsx,0.3333333333333333,1.0,0.6666666666666666,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666,Graded-test temporal holdout,vo2r,
A3013.xlsx,0.5454545454545454,1.0,0.45454545454545453,0.8181818181818182,1.0,0.18181818181818182,0.7272727272727273,1.0,0.2727272727272727,0.8181818181818182,1.0,0.18181818181818182,Graded-test temporal holdout,vo2r,
A3014.xlsx,1.0,1.0,0.0,0.8333333333333334,1.0,0.16666666666666666,1.0,1.0,0.0,0.8333333333333334,1.0,0.16666666666666666,Graded-test temporal holdout,vo2r,
A3018.xlsx,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.42857142857142855,1.0,0.5714285714285714,0.42857142857142855,1.0,0.5714285714285714,Graded-test temporal holdout,vo2r,
A3019.xlsx,0.5,1.0,0.5,0.625,1.0,0.375,0.625,1.0,0.375,0.625,1.0,0.375,Graded-test temporal holdout,vo2r,
