file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,hrr_band,ID
A1085.xlsx,0.06366697275788183,0.043078726898651554,0.05943470884034638,0.038052999368279855,Graded-test temporal holdout,vo2r,<0.60,
A1086.xlsx,0.05744559342429998,0.034975856566733854,0.0490146520393096,0.030093855293921428,Graded-test temporal holdout,vo2r,<0.60,
A1088.xlsx,0.036844470120033355,0.04008186810439577,0.030165003738829004,0.04458179180288733,Graded-test temporal holdout,vo2r,<0.60,
A1096.xlsx,0.03348236462990565,0.019376462926536775,0.03263545519101011,0.01704875754404883,Graded-test temporal holdout,vo2r,<0.60,
A1106.xlsx,0.026520161747477428,0.023498016288671042,0.02768134849114079,0.022760290513636094,Graded-test temporal holdout,vo2r,<0.60,
A1108.xlsx,0.021446446446446388,0.018816060584151945,0.015576558224554227,0.020247434195424685,Graded-test temporal holdout,vo2r,<0.60,
A1116.xlsx,0.07584087641496069,0.09381626764265028,0.07424237426617512,0.09820418000681606,Graded-test temporal holdout,vo2r,<0.60,
A1117.xlsx,0.03164556962025322,0.00979313322580705,0.024592176970517854,0.004458808390938873,Graded-test temporal holdout,vo2r,<0.60,
A1120.xlsx,0.07109653558913376,0.05060216021355146,0.06707375015695939,0.045599347091584676,Graded-test temporal holdout,vo2r,<0.60,
A202.xlsx,0.02821284732110163,0.0045006291058515835,0.017009222737066065,0.0012876808213458935,Graded-test temporal holdout,vo2r,<0.60,
A203.xlsx,0.05157935420399845,0.028489987447602505,0.04176566578663893,0.022853719697553065,Graded-test temporal holdout,vo2r,<0.60,
A204.xlsx,0.025562159690760144,0.0014798828479011261,0.013532723650409695,0.004398760847667882,Graded-test temporal holdout,vo2r,<0.60,
A205.xlsx,0.0359810590903028,0.052042460715300255,0.033725405358356664,0.05667948818613341,Graded-test temporal holdout,vo2r,<0.60,
A207.xlsx,0.019500173665668863,0.039867493023599265,0.023239424795052865,0.04483929092794242,Graded-test temporal holdout,vo2r,<0.60,
A208.xlsx,0.04298245614035101,0.018840716885534237,0.030820325609584143,0.012947558020346528,Graded-test temporal holdout,vo2r,<0.60,
A220.xlsx,0.03291756863553589,0.028188368970060034,0.025346918232471354,0.028840885769432296,Graded-test temporal holdout,vo2r,<0.60,
A221.xlsx,0.019813519813519864,0.020339053862451734,0.02316718513153071,0.022007740092846412,Graded-test temporal holdout,vo2r,<0.60,
A226.xlsx,0.03462035541195482,0.025745182329656335,0.030492876275901082,0.024998376852774784,Graded-test temporal holdout,vo2r,<0.60,
A232.xlsx,0.05029472954230235,0.07253738801522075,0.05821892978539536,0.07796696865071162,Graded-test temporal holdout,vo2r,<0.60,
A236.xlsx,0.03158825420640876,0.04862375569670282,0.027892323015557496,0.0527822347346377,Graded-test temporal holdout,vo2r,<0.60,
A237.xlsx,0.044865251122907346,0.02536253907195002,0.04305543107833618,0.020601797552659024,Graded-test temporal holdout,vo2r,<0.60,
A238.xlsx,0.030150241914947806,0.020559736800679296,0.0221986229803046,0.021276956946543968,Graded-test temporal holdout,vo2r,<0.60,
A239.xlsx,0.018287216876830215,0.035537490256189706,0.022319907250696974,0.040013417991194046,Graded-test temporal holdout,vo2r,<0.60,
A240.xlsx,0.04037083632067608,0.032558513724372184,0.03979304268496059,0.030765949281218636,Graded-test temporal holdout,vo2r,<0.60,
A241.xlsx,0.03574590261993055,0.01691918818779231,0.03544461807869126,0.012323462176213551,Graded-test temporal holdout,vo2r,<0.60,
A246.xlsx,0.12919352528291073,0.14656341062208592,0.12624379480894823,0.15080351497800676,Graded-test temporal holdout,vo2r,<0.60,
A251.xlsx,0.013828689370485092,0.010953368792268492,0.007412212366797261,0.015571242805944019,Graded-test temporal holdout,vo2r,<0.60,
A274.xlsx,0.09483679729776315,0.11419728919108826,0.0963292432109691,0.11892331382548905,Graded-test temporal holdout,vo2r,<0.60,
A275.xlsx,0.09543348487269247,0.11340305033754694,0.09382198213067094,0.11778954059431876,Graded-test temporal holdout,vo2r,<0.60,
A294.xlsx,0.06306276150627621,0.04348297849685243,0.06108095228025565,0.038703423444810536,Graded-test temporal holdout,vo2r,<0.60,
A295.xlsx,0.07348919879682797,0.053492157945306484,0.07057624979852886,0.04861074748321009,Graded-test temporal holdout,vo2r,<0.60,
A3000.xlsx,0.02742120718730011,0.04480305728774264,0.027335935339702674,0.04960854819501612,Graded-test temporal holdout,vo2r,<0.60,
A3001.xlsx,0.1472129843840371,0.16244665398593466,0.1394961405464373,0.1661652938948572,Graded-test temporal holdout,vo2r,<0.60,
A3002.xlsx,0.03077816492450644,0.032188743094865246,0.02522765148391798,0.03678580352166225,Graded-test temporal holdout,vo2r,<0.60,
A3003.xlsx,0.04876733436055475,0.025524288377371085,0.03861070010539949,0.019850506507556737,Graded-test temporal holdout,vo2r,<0.60,
A3005.xlsx,0.43806181171007585,0.41695265546510063,0.4326671001905455,0.41179977025046605,Graded-test temporal holdout,vo2r,<0.60,
A3008.xlsx,0.041394981229006145,0.06116623320493364,0.04380406671416751,0.06599252710314772,Graded-test temporal holdout,vo2r,<0.60,
A3009.xlsx,0.03811645147977831,0.05433279736195368,0.03597330684548508,0.058961413852909386,Graded-test temporal holdout,vo2r,<0.60,
A3010.xlsx,0.029249058380414278,0.050646235683309504,0.03528650883789905,0.05586942875078457,Graded-test temporal holdout,vo2r,<0.60,
A3011.xlsx,0.011299435028248539,0.012472212909692193,0.0075391983281219615,0.0165017162853441,Graded-test temporal holdout,vo2r,<0.60,
A3013.xlsx,0.0388327721661055,0.02966014454374538,0.0322673625594506,0.027421045230343888,Graded-test temporal holdout,vo2r,<0.60,
A3014.xlsx,0.01948620639322718,0.04005320535270593,0.02367105638249037,0.045073746373758355,Graded-test temporal holdout,vo2r,<0.60,
A3018.xlsx,0.03959276018099553,0.035924218648384326,0.030987132199578965,0.040735570460226245,Graded-test temporal holdout,vo2r,<0.60,
A3019.xlsx,0.048091327031354957,0.04279786181082305,0.04526410608312211,0.043735274543310367,Graded-test temporal holdout,vo2r,<0.60,
A3020.xlsx,0.0069431249604154505,0.022093506171660116,0.004461537286572351,0.026866323129173766,Graded-test temporal holdout,vo2r,<0.60,
A3022.xlsx,0.09868813357185448,0.11605801891102967,0.09573840309789199,0.12029812326695051,Graded-test temporal holdout,vo2r,<0.60,
A3023.xlsx,0.03281323877068559,0.030190946403352042,0.02696141174332234,0.029550827423167864,Graded-test temporal holdout,vo2r,<0.60,
A3024.xlsx,0.03480819808839564,0.03213919822342509,0.028852140045277808,0.03148767763290686,Graded-test temporal holdout,vo2r,<0.60,
A3027.xlsx,0.036877394636015415,0.027165200682928232,0.029107905394100592,0.024794389645209008,Graded-test temporal holdout,vo2r,<0.60,
A3031.xlsx,0.0402207441681125,0.024500419078770024,0.035355534701686064,0.022004228611171444,Graded-test temporal holdout,vo2r,<0.60,
A3032.xlsx,0.08915788427122676,0.10961548430006998,0.093098602970237,0.11460932031569127,Graded-test temporal holdout,vo2r,<0.60,
A3036.xlsx,0.06715686274509808,0.04603284089713344,0.06172897760296362,0.040876326890094204,Graded-test temporal holdout,vo2r,<0.60,
A3037.xlsx,0.02848261912013929,0.035674204554784816,0.02145073918715155,0.04018452799239699,Graded-test temporal holdout,vo2r,<0.60,
A3039.xlsx,0.042815323378893544,0.02075072740780229,0.03528848194053652,0.015364613011430495,Graded-test temporal holdout,vo2r,<0.60,
A3041.xlsx,0.07379549839228297,0.09274593123354671,0.07437286913173632,0.09737185773034439,Graded-test temporal holdout,vo2r,<0.60,
A3043.xlsx,0.050222746331236884,0.07143781999751171,0.05585381991182145,0.07661656035802959,Graded-test temporal holdout,vo2r,<0.60,
A3045.xlsx,0.0838325146759314,0.10375679491792646,0.08658309333495849,0.10862044403207098,Graded-test temporal holdout,vo2r,<0.60,
A3049.xlsx,0.041352093342484464,0.02379929484970339,0.03311889685658717,0.023326088614352175,Graded-test temporal holdout,vo2r,<0.60,
A3051.xlsx,0.04693278582803593,0.03676886192364235,0.03815522991474072,0.034287780605099016,Graded-test temporal holdout,vo2r,<0.60,
A3052.xlsx,0.05726026778658361,0.075240951186218,0.055673575486007876,0.07963015540469813,Graded-test temporal holdout,vo2r,<0.60,
A3053.xlsx,0.012546015321858589,0.03347834913127545,0.01754613533041388,0.0385880708152018,Graded-test temporal holdout,vo2r,<0.60,
A3056.xlsx,0.04065222009772673,0.01904258855210772,0.03414066328385831,0.013767533993182516,Graded-test temporal holdout,vo2r,<0.60,
A3057.xlsx,0.1168171821627439,0.0939483533778584,0.10749563950240254,0.08836592041113583,Graded-test temporal holdout,vo2r,<0.60,
A3058.xlsx,0.024533799533799583,0.01705172565546989,0.021026968718829836,0.016372811585577574,Graded-test temporal holdout,vo2r,<0.60,
A3059.xlsx,0.032268532603184255,0.05159068688879981,0.03367542548967436,0.056307353058577994,Graded-test temporal holdout,vo2r,<0.60,
A3060.xlsx,0.02987353981352489,0.028257671624948272,0.02436778857810243,0.03307577147579696,Graded-test temporal holdout,vo2r,<0.60,
A3062.xlsx,0.030518007222062493,0.034862936095812036,0.026310072723760108,0.03592356208637062,Graded-test temporal holdout,vo2r,<0.60,
A3063.xlsx,0.03345266507557673,0.016115224955573104,0.028024779933442254,0.012940031601484922,Graded-test temporal holdout,vo2r,<0.60,
A3066.xlsx,0.02950884368385172,0.04880543956432759,0.030858701219197943,0.05351586675769073,Graded-test temporal holdout,vo2r,<0.60,
A3071.xlsx,0.06412240377467268,0.039172771670777456,0.05015740439970515,0.033082400796321604,Graded-test temporal holdout,vo2r,<0.60,
A3072.xlsx,0.047836328738440015,0.027374501932731332,0.043886177694124534,0.0223796341328093,Graded-test temporal holdout,vo2r,<0.60,
A4000.xlsx,0.01844222877660945,0.03714432466018361,0.020903524370816703,0.04219288209318388,Graded-test temporal holdout,vo2r,<0.60,
A4001.xlsx,0.008981908175456558,0.012116226790488441,0.007211315687783197,0.017006024555784278,Graded-test temporal holdout,vo2r,<0.60,
A530.xlsx,0.04729085564471275,0.027037378010835805,0.04380565020678426,0.02209336962729941,Graded-test temporal holdout,vo2r,<0.60,
A531.xlsx,0.06041589762519992,0.03914156801367561,0.05465259029895734,0.03394836288343358,Graded-test temporal holdout,vo2r,<0.60,
A535.xlsx,0.16853117589621974,0.14524914085914625,0.15828753486708075,0.13956584150237078,Graded-test temporal holdout,vo2r,<0.60,
A536.xlsx,0.012893529504825233,0.01381955280331589,0.005234619004924075,0.018718422549623415,Graded-test temporal holdout,vo2r,<0.60,
