family,reference,participants,median_paired_rho_difference,ci_low,ci_high
original_exp,linear_decile,9,0.04358883808553726,-0.01791947164300907,0.2699881912872517
entropic_hrr,linear_decile,9,0.04358883808553726,-0.01791947164300907,0.2699881912872517
tilted_hrr,linear_decile,9,0.07423074889580897,-0.022202818653143996,0.37102074258049744
power_hrr,linear_decile,9,0.04358883808553726,0.008247860988423228,0.29551586517683603
mean_hrr,linear_decile,9,-0.003035203850556334,-0.004323470810228658,0.0
banister_trimp,linear_decile,9,-0.1346045880846859,-0.3852686403246954,0.08139403742734769
