metric,participants,median_participant_rho,ci_low,ci_high,mean_participant_rho
nonlinear,9,0.6523752867525634,0.09855709403655,0.8041233771977604,0.5216664871457526
linear,9,0.422008346476664,0.19382473322794577,0.6882873782474663,0.4446172887719043
mean_hrr,9,0.41768487566643536,0.19382473322794577,0.6882873782474663,0.43924561242072824
banister_trimp,9,0.5034023839040117,-0.2687920746451363,0.6399490908144193,0.32180120855800126
