family,reference,participants,median_paired_rho_difference,ci_low,ci_high
original_exp,linear_decile,9,-0.291768784616363,-0.5283598165974337,0.054879068998719416
entropic_hrr,linear_decile,9,0.019310510150140514,-0.014109896068387529,0.1225838568008425
tilted_hrr,linear_decile,9,0.019310510150140514,-0.014109896068387529,0.14815643990303173
power_hrr,linear_decile,9,0.019310510150140514,-0.016016108155018305,0.11980720903773612
mean_hrr,linear_decile,9,0.0,-0.009664892852166207,0.01829302299957325
banister_trimp,linear_decile,9,-0.04209535127277242,-0.11585741469506805,0.12094923054996642
