analysis,sessions,participants,selected_k,nonlinear_median_participant_rho,linear_median_participant_rho,median_paired_rho_difference,difference_ci_low,difference_ci_high
primary,244,9,0.56,0.6523752867525634,0.422008346476664,0.04301796114046663,0.010897209521384288,0.1704859092734906
measured_hrmax_only,163,7,0.56,0.6523752867525634,0.2795894086082415,0.04301796114046663,0.010897209521384288,0.1704859092734906
exclude_sessions_with_gt5pct_hrr_above_one,241,9,0.56,0.6523752867525634,0.49907787010239335,0.04301796114046663,-0.016495721976846456,0.1704859092734906
broad_matching_0_to_12h,263,9,1.5,0.5440240954561049,0.34247905738340956,0.08470386589736728,0.012994868040485885,0.3060790154471653
