variant,sessions,participants,full_data_lambda,outer_lambda_median,outer_lambda_q1,outer_lambda_q3,participant_balanced_mae,mae_ci_low,mae_ci_high,participants_with_rho,median_within_participant_rho
five_bins,255,15,12.6,12.6,12.6,13.3,1.284413688307689,0.9475051860757863,1.6988956227687222,9,0.7079923798021317
ten_bins,255,15,6.2,8.9,6.2,9.3,1.2055438134681116,0.8434919908134609,1.616612652643009,9,0.6660845595943223
twenty_bins,255,15,6.3,7.4,6.3,9.9,1.222921317658576,0.8752138943686321,1.61244748086014,9,0.6441592761743425
continuous,255,15,6.1,6.1,6.1,9.1,1.2393758357559892,0.8853999767970843,1.6501829822706862,9,0.6441592761743425
session_date_rest_ten_bins,209,12,13.0,13.0,9.2,13.0,1.276696160048363,0.8515951930029896,1.7501039303330241,7,0.5477225575051662
