sessions,participants,full_data_lambda,outer_lambda_median,outer_lambda_q1,outer_lambda_q3,participant_balanced_mae_tilted,participant_balanced_mae_linear,mae_difference_tilted_minus_linear,conditional_ci_low,conditional_ci_high,participants_with_rho,median_within_participant_rho_tilted,median_within_participant_rho_linear,matching_rule
232,15,6.0,6.0,6.0,9.0,1.220932522220175,1.3094602433394191,-0.08852772111924383,-0.1493376581086613,-0.029252413449634754,9,0.6752839811119365,0.4476936711211663,delay_15_90_min
240,15,6.0,6.0,5.2,9.0,1.206703357353628,1.2900649373492759,-0.08336157999564787,-0.15065772946864187,-0.02437808080666151,9,0.6660845595943223,0.39349109869887117,delay_30_120_min
220,15,7.7,7.7,7.7,8.7,1.2121902981921948,1.2801528961757975,-0.06796259798360278,-0.12979108605470854,-0.008852733574049226,9,0.6515501692769458,0.42286034708219256,duration_difference_le_10_min
264,15,9.3,9.3,9.3,11.9,1.2024037036396955,1.2970490065881817,-0.09464530294848625,-0.1649490314359964,-0.02864092797699034,9,0.6117962277544905,0.41129994307261697,delay_priority_cost
264,15,9.3,9.3,9.3,11.9,1.2024037036396955,1.297049006588182,-0.09464530294848629,-0.16327233521634227,-0.02562865804378873,9,0.6117962277544905,0.41129994307261697,duration_priority_cost
