participant,sessions,original_exp,entropic_hrr,tilted_hrr,power_hrr,linear_decile,mean_hrr,banister_trimp
p01,15,0.202072594216369,0.202072594216369,0.26805548212375474,0.202072594216369,0.19382473322794577,0.19382473322794577,-0.3216665785485058
p02,13,0.09855709403655,0.09855709403655,0.09855709403655,0.09855709403655,0.11647656567955907,0.11647656567955907,-0.2687920746451363
p04,29,0.8627566945206782,0.8627566945206782,0.8640213627917434,0.8645272301001694,0.6477630884395943,0.644727884589038,0.6414397470842684
p06,28,0.7060496331699815,0.7060496331699815,0.6660845595943223,0.7127104787659247,0.6882873782474663,0.6882873782474663,0.5536827901627804
p07,49,0.8041233771977604,0.8041233771977604,0.800896683172373,0.8039672468416934,0.6691747061037348,0.6611079710402661,0.3250113578797498
p08,56,0.5206741223446408,0.5206741223446408,0.6217066736378866,0.5462017962342252,0.2506859310573891,0.24682547901141652,0.2892208938225926
p11,10,0.6523752867525634,0.6523752867525634,0.8014896380102923,0.6523752867525634,0.2795894086082415,0.2795894086082415,0.6399490908144193
p14,12,0.7773342791920811,0.7773342791920811,0.7773342791920811,0.7773342791920811,0.7337454411065438,0.7046862157161856,0.5339632665478313
p15,32,0.07105530288114877,0.07105530288114877,-0.0033835858514832742,0.04812210988776213,0.422008346476664,0.41768487566643536,0.5034023839040117
