analysis,sessions,participants,participants_with_at_least_5_sessions,outer_lambda_median,outer_lambda_q1,outer_lambda_q3,tilted_median_participant_rho,linear_median_participant_rho,median_paired_rho_difference,rho_difference_ci_low,rho_difference_ci_high,tilted_participant_balanced_mae,linear_participant_balanced_mae,mae_difference,mae_difference_ci_low,mae_difference_ci_high
primary,255,15,9,8.9,6.2,9.3,0.6660845595943223,0.422008346476664,0.07423074889580897,-0.022202818653143996,0.37102074258049744,1.2055438134681116,1.3020464195357115,-0.09650260606760004,-0.16335497862638254,-0.03190419320320247
measured_hrmax_only,172,12,7,8.9,6.2,9.3,0.6660845595943223,0.2795894086082415,0.07423074889580897,-0.01791947164300907,0.37102074258049744,1.2504579677562702,1.3227246486136501,-0.07226668085738013,-0.15301352325698267,0.003183231184885237
exclude_sessions_with_gt5pct_hrr_above_one,250,14,9,7.6,6.2,8.9,0.6660845595943223,0.49907787010239335,0.04358883808553726,-0.022202818653143996,0.3333552509968193,1.2972971636257302,1.4033094434098428,-0.10601227978411268,-0.17379978905246485,-0.03650191602134742
duration_difference_at_most_10_min,214,15,9,6.2,6.2,9.1,0.6302825145161274,0.42286034708219256,0.018203322409537287,-0.22537446792760443,0.35500775166299403,1.2112700477681995,1.2843494619018627,-0.0730794141336634,-0.1380295078782371,-0.010347898826434278
run_or_treadmill_only,251,15,9,6.2,6.2,8.9,0.6302825145161274,0.422008346476664,0.04290581651605152,-0.05800486373133895,0.2983329518049782,1.2258023883000992,1.3081829252371115,-0.08238053693701214,-0.14988139022646244,-0.019055968444194105
daily_resting_hr_source_only,251,13,9,8.9,6.2,9.3,0.6660845595943223,0.422008346476664,0.07423074889580897,-0.022202818653143996,0.37102074258049744,1.3216634717434466,1.4125121939124587,-0.09084872216901227,-0.16764022242761906,-0.01478939907909252
