family,sessions,high_rpe_sessions,roc_auc,conditional_ci_low,conditional_ci_high
tilted_hrr,255,50,0.729170731707317,0.5402412116315742,0.8651742010092515
linear_decile,255,50,0.5769756097560975,0.44306813295493636,0.740153704054566
mean_hrr,255,50,0.5799024390243902,0.44531744421906694,0.739788322210197
entropic_hrr,255,50,0.688,0.49303234236259413,0.8470469995350146
power_hrr,255,50,0.6905365853658536,0.49265508642481387,0.8460141071866139
