quantity,sessions,median,q1,q3,minimum,maximum
mean_decile_midpoint,255,0.6419999999999997,0.5724547940953401,0.7108779002108752,0.24267857142857138,0.9433710174717368
tHRR-I,255,0.7388442883320094,0.645421757853845,0.8067348715200297,0.37108843045135953,0.9468021660457122
delta_tilt,255,0.07704600237443915,0.04149114637649898,0.12413672540919929,0.0034311485739754177,0.3484211500496253
duration_times_delta_tilt,255,3.7399789080141446,1.7130166709940484,7.164000694331633,0.11145514284463483,40.72994779740231
adjacent_decile_weight_multiplier,255,1.858928041846342,,,,
