comparison,participants,tilted_participant_balanced_mae,comparator_participant_balanced_mae,mae_difference,conditional_ci_low,conditional_ci_high,participants_improved,participants_unchanged,participants_worsened
tilted_hrr_minus_intercept_only,15,1.2055438134681116,1.4210132158314523,-0.2154694023633408,-0.4121796446373398,-0.021612922375518512,11,0,4
tilted_hrr_minus_linear_decile,15,1.2055438134681116,1.3020464195357115,-0.09650260606760001,-0.1636978648097087,-0.03270628108213595,9,0,6
tilted_hrr_minus_mean_hrr,15,1.2055438134681116,1.3142947095374862,-0.10875089606937437,-0.17337353585850324,-0.04264207882503416,11,0,4
tilted_hrr_minus_entropic_hrr,15,1.2055438134681116,1.2391899701334148,-0.0336461566653034,-0.05871238081291125,-0.010842630671137598,12,0,3
tilted_hrr_minus_power_hrr,15,1.2055438134681116,1.2372539065834218,-0.03171009311531001,-0.05412135660452403,-0.009996091892401337,11,0,4
tilted_hrr_minus_original_exp,15,1.2055438134681116,1.3536643940931283,-0.14812058062501662,-0.3507437424559327,0.0003428335488954725,9,0,6
tilted_hrr_minus_banister_trimp,15,1.2055438134681116,1.3273228345990238,-0.12177902113091213,-0.36641442298403926,0.11908652024154308,10,0,5
