participant,sessions,original_exp,entropic_hrr,tilted_hrr,power_hrr,linear_decile,mean_hrr,banister_trimp
p01,15,0.3774758650974198,0.6874801987523056,0.6601268751945215,0.6874801987523056,0.6692446497137828,0.7020686379831238,0.6984215281754191
p02,13,0.18758781288708012,0.7972482047700905,0.7972482047700905,0.7972482047700905,0.77793769461995,0.77793769461995,0.5931085260400327
p04,29,0.5198730146573571,0.8553148884005565,0.856800239871006,0.8493734825187581,0.819418894531358,0.8085263170813943,0.7035614798362899
p06,28,0.6533467568064393,0.688416510870014,0.6798561772009525,0.6746095210812051,0.6906256292362234,0.6809607363840572,0.8115748597861898
p07,49,0.7707428924412761,0.6141024230155112,0.6381496832972406,0.5951312368657459,0.5195028596470869,0.5251942154920164,0.7759215135254013
p08,56,0.5576605655581951,0.7668004174435251,0.7923730005457144,0.7640237696804187,0.6442165606426826,0.6403429656151393,0.6021212093699102
p11,10,0.7256232456497339,0.8536744066467458,0.8536744066467458,0.8536744066467458,0.6707441766510145,0.6890371996505877,0.7744046403152623
p14,12,0.5538134206842098,0.9277256664964788,0.9277256664964788,0.9277256664964788,0.9418355625648663,0.9418355625648663,0.8783410302571225
p15,32,0.38955965600903353,0.861664043281897,0.8361101064318474,0.8601933131034769,0.9179194726064672,0.9111173455312743,0.8318817571688893
