k,participants,median_participant_rho,mean_fisher_rho,precision_weighted_fisher_rho
0.01,9,0.4116696119304651,0.47721370212664704,0.5008669351803848
0.02,9,0.4033986242935059,0.4785693815731615,0.5024164703209245
0.03,9,0.38572878706909325,0.4770419322530858,0.5008174618591135
0.04,9,0.38234520121761,0.47747774236521406,0.5019423514230184
0.05,9,0.3729463516301565,0.4784051515744183,0.5044693007483412
0.06,9,0.35941200822422337,0.47784395122976137,0.504347432894154
0.07,9,0.35602842237274007,0.47865857656464667,0.5061354674458128
0.08,9,0.34888529668627544,0.47879201545180977,0.5076776905287647
0.09,9,0.33948644709882186,0.4799376077256123,0.5106000629792613
0.1,9,0.3417203882989618,0.48751899480047106,0.5155969803704847
0.11,9,0.3417203882989618,0.4904964436215966,0.5184424776315384
0.12,9,0.3417203882989618,0.4939252471700464,0.5231813782660627
0.13,9,0.3417203882989618,0.4947029943767178,0.52484171623917
0.14,9,0.3417203882989618,0.4976614642150696,0.5286988124582213
0.15,9,0.3417203882989618,0.4960711123659109,0.5274438277517611
0.16,9,0.3417203882989618,0.5000397941817027,0.5329892720346149
0.17,9,0.3417203882989618,0.49821619599828887,0.5311379311340804
0.18,9,0.3417203882989618,0.4973641123250381,0.5293495367441072
0.19,9,0.3417203882989618,0.49742507351035375,0.5295435125285906
0.2,9,0.3417203882989618,0.49837395687350533,0.5307934763647904
0.21,9,0.3417203882989618,0.49919108380717364,0.5325086670340506
0.22,9,0.40385136798968213,0.5077096824464321,0.5380897369631555
0.23,9,0.40385136798968213,0.5104707815256202,0.5421599164780571
0.24,9,0.40385136798968213,0.5107018009046085,0.5432953583698413
0.25,9,0.40385136798968213,0.5111704742000507,0.5442919092390399
0.26,9,0.40385136798968213,0.5110817159936912,0.5443337123628706
0.27,9,0.40385136798968213,0.5128343057650138,0.5461821697911868
0.28,9,0.40385136798968213,0.5152817805542316,0.5494909621862749
0.29,9,0.40385136798968213,0.5186716644967749,0.5538004104545335
0.3,9,0.40385136798968213,0.5208517216306929,0.5562264039107808
0.31,9,0.40385136798968213,0.520717224619295,0.5564307123401528
0.32,9,0.42870375986597026,0.5242527327202406,0.559366992207868
0.33,9,0.42870375986597026,0.523726265682472,0.5589980922905868
0.34,9,0.42870375986597026,0.5225802764652399,0.5604415738194912
0.35,9,0.5156871314329786,0.5322881366828045,0.5642628757967756
0.36,9,0.5156871314329786,0.5318342979609357,0.5636098841497128
0.37,9,0.5156871314329786,0.5343150815119624,0.5655042249181774
0.38,9,0.5156871314329786,0.5349291997519204,0.5666927260943854
0.39,9,0.5156871314329786,0.5347008008161275,0.5666846212307998
0.4,9,0.5156871314329786,0.534136138608636,0.5663397280427266
0.41,9,0.5405395233092668,0.538487425070211,0.5687847894883237
0.42,9,0.5405395233092668,0.5403204826380218,0.5697018090884312
0.43,9,0.5405395233092668,0.5433560031200563,0.5732589516223815
0.44,9,0.6026705029999871,0.5514080068287276,0.5768234869124079
0.45,9,0.6026705029999871,0.552885531862074,0.5796676681321759
0.46,9,0.6026705029999871,0.5542043434325385,0.5817555785528994
0.47,9,0.6026705029999871,0.553106122391877,0.5801227667656563
0.48,9,0.6026705029999871,0.5544028434339999,0.582894724169009
0.49,9,0.6026705029999871,0.553680112620544,0.5818867082001948
0.5,9,0.6026705029999871,0.5554237308578382,0.584581317492699
0.51,9,0.6026705029999871,0.556410031138269,0.5862813667414475
0.52,9,0.6026705029999871,0.5564996336152606,0.5863990447409229
0.53,9,0.6026705029999871,0.5564710949985793,0.5867397650220949
0.54,9,0.6026705029999871,0.5569275758936721,0.5875462679721666
0.55,9,0.6026705029999871,0.5572761971384542,0.5876766731305688
0.56,9,0.6523752867525634,0.563676429888512,0.5903589539382281
0.57,9,0.6523752867525634,0.5637468256210489,0.5907906978749004
0.58,9,0.6523752867525634,0.5638079664723628,0.5904765974504508
0.59,9,0.6523752867525634,0.5664192631519435,0.5936071920701657
0.6,9,0.6523752867525634,0.5661599933763793,0.5932093653812424
0.61,9,0.6523752867525634,0.5666679871624171,0.5937814999596637
0.62,9,0.6523752867525634,0.5683833284796352,0.5956926958603249
0.63,9,0.6523752867525634,0.5681680227941176,0.5952415397166272
0.64,9,0.6523752867525634,0.5684828133090093,0.5960183786237416
0.65,9,0.6523752867525634,0.5690278757156323,0.5971954858770179
0.66,9,0.6523752867525634,0.569570520603875,0.5979235394537392
0.67,9,0.6523752867525634,0.5728011633337494,0.5994546356594949
0.68,9,0.6523752867525634,0.5745085081649052,0.6014242554751159
0.69,9,0.6523752867525634,0.5743579593889256,0.601539518021976
0.7,9,0.6523752867525634,0.5749990701988184,0.6029101388739527
0.71,9,0.6523752867525634,0.5747291797498406,0.6024653875278931
0.72,9,0.6523752867525634,0.5756091928760321,0.6040612424385421
0.73,9,0.6523752867525634,0.5760547883898531,0.6043287745551834
0.74,9,0.6523752867525634,0.5737265215380464,0.6031076847366139
0.75,9,0.6523752867525634,0.574135852108329,0.6039606889900885
0.76,9,0.6523752867525634,0.574543193328463,0.6047365393095981
0.77,9,0.6523752867525634,0.5742378668835821,0.6043916181056259
0.78,9,0.6523752867525634,0.5731106239187092,0.6051317644664047
0.79,9,0.6523752867525634,0.5733103468924601,0.6052945842884775
0.8,9,0.6523752867525634,0.5735189276017836,0.6057272294803366
0.81,9,0.6523752867525634,0.5736274226188242,0.6062389460106737
0.82,9,0.6523752867525634,0.5758349672795967,0.6084421360378742
0.83,9,0.6523752867525634,0.5767764741074313,0.6099832542937144
0.84,9,0.6523752867525634,0.5760882514004383,0.6093926639741578
0.85,9,0.6523752867525634,0.5767197798961026,0.6106978855349835
0.86,9,0.6523752867525634,0.5758725126062564,0.6095137536322176
0.87,9,0.6523752867525634,0.5752982140880901,0.6088572886379494
0.88,9,0.6523752867525634,0.5754671922803425,0.6092065990033579
0.89,9,0.6523752867525634,0.5753353207099585,0.6090051518262077
0.9,9,0.6523752867525634,0.5776897829904368,0.6117408406014196
0.91,9,0.6523752867525634,0.5779308313438415,0.6122383553544645
0.92,9,0.6523752867525634,0.5782066551471359,0.6128073061512249
0.93,9,0.6523752867525634,0.5790436379119149,0.6140899204957724
0.94,9,0.6523752867525634,0.5787866483747025,0.6136042626733959
0.95,9,0.6523752867525634,0.578820015092638,0.6139074291958301
0.96,9,0.6523752867525634,0.5799837961319838,0.6155559186672399
0.97,9,0.6523752867525634,0.58180940075078,0.6179196019500167
0.98,9,0.6523752867525634,0.5819066707614144,0.6181193908194325
0.99,9,0.6523752867525634,0.5819066707614144,0.6181193908194325
1.0,9,0.6523752867525634,0.5828119872739266,0.6198846094359829
1.01,9,0.6523752867525634,0.5836641568591089,0.6207908971688353
1.02,9,0.6523752867525634,0.5823053282194588,0.6193417452444042
1.03,9,0.6523752867525634,0.5825934961443642,0.6199323286138282
