metric,participant_balanced_mae,participant_balanced_mae_ci_low,participant_balanced_mae_ci_high,participant_balanced_rmse,participant_balanced_rmse_ci_low,participant_balanced_rmse_ci_high,pooled_cv_r2,pooled_cv_r2_ci_low,pooled_cv_r2_ci_high
nonlinear,1.3536643940931283,1.0229954707326032,1.7134984445101922,1.674903490837242,1.3311100382918668,2.0206668768041403,0.03306219768621976,-0.31196376301375817,0.19080676429522658
linear,1.3020464195357115,0.9308437608333595,1.7143612435921871,1.696825312499014,1.2839025399369037,2.086905767580357,-0.05749857501797995,-0.494228103870389,0.1633504140312738
mean_hrr,1.3142947095374862,0.9620762492938807,1.7057216850009924,1.6952590540820123,1.2937101098446873,2.078537801908563,-0.04970295982105699,-0.4653767883415991,0.16247229914370154
banister_trimp,1.3273228345990238,1.043775069833671,1.6278872680526542,1.668230953962577,1.365597407000757,1.9480756275775313,-0.011901326555794567,-0.3646321780443633,0.14738104463668175
