family,participants,median_participant_rho,ci_low,ci_high
original_exp,9,0.6523752867525634,0.09855709403655,0.8041233771977604
entropic_hrr,9,0.6523752867525634,0.09855709403655,0.8041233771977604
tilted_hrr,9,0.6660845595943223,0.09855709403655,0.8014896380102923
power_hrr,9,0.6523752867525634,0.09855709403655,0.8039672468416934
linear_decile,9,0.422008346476664,0.19382473322794577,0.6882873782474663
mean_hrr,9,0.41768487566643536,0.19382473322794577,0.6882873782474663
banister_trimp,9,0.5034023839040117,-0.2687920746451363,0.6399490908144193
