sport,n_tests,relative_mae_reduction_percent,ci_low,ci_high
Cycling,195,17.54579021865868,11.729753856402711,23.252419681605733
Running,191,5.736443708543581,1.598726966768583,9.76418053152296
Rowing,147,11.260169839107466,4.960697647787799,17.50927958397221
Kayak,37,18.288319717483397,6.57722020417656,29.199806848048713
