resting_hr_shift_bpm,max_hr_shift_bpm,linear_mae,cycling_mae,delta_mae
-5,-5,0.0879458492621004,0.0663355463267032,-0.0216103029353972
-5,0,0.0660367929946303,0.0506629190528235,-0.0153738739418067
-5,5,0.0515148572975717,0.0527372894903219,0.0012224321927502
0,-5,0.0816979362385959,0.0633352322658672,-0.0183627039727286
0,0,0.0616978544014542,0.0509500396903274,-0.0107478147111268
0,5,0.050756285054393,0.0572645439960916,0.0065082589416986
5,-5,0.0775799621737191,0.062999016144655,-0.0145809460290641
5,0,0.0602085190164247,0.0540734246777931,-0.0061350943386315
5,5,0.0531766702038177,0.0654129913848681,0.0122363211810504
