hrr,raw_identity,cycling_transfer
0.0,0.0,0.0
0.002,0.002,0.0018912529550827422
0.004,0.004,0.0037825059101654845
0.006,0.006,0.0056737588652482265
0.008,0.008,0.007565011820330969
0.01,0.01,0.009456264775413711
0.012,0.012,0.011347517730496453
0.014,0.014,0.013238770685579195
0.016,0.016,0.015130023640661938
0.018000000000000002,0.018000000000000002,0.01702127659574468
0.02,0.02,0.018912529550827423
0.022,0.022,0.02080378250591016
0.024,0.024,0.022695035460992906
0.026000000000000002,0.026000000000000002,0.02458628841607565
0.028,0.028,0.02647754137115839
0.03,0.03,0.02836879432624113
0.032,0.032,0.030260047281323876
0.034,0.034,0.03215130023640662
0.036000000000000004,0.036000000000000004,0.03404255319148936
0.038,0.038,0.0359338061465721
0.04,0.04,0.037825059101654845
0.042,0.042,0.03971631205673759
0.044,0.044,0.04160756501182032
0.046,0.046,0.04349881796690307
0.048,0.048,0.04539007092198581
0.05,0.05,0.04728132387706856
0.052000000000000005,0.052000000000000005,0.0491725768321513
0.054,0.054,0.05106382978723404
0.056,0.056,0.05295508274231678
0.058,0.058,0.05484633569739952
0.06,0.06,0.05673758865248226
0.062,0.062,0.058628841607565006
0.064,0.064,0.06052009456264775
0.066,0.066,0.062411347517730496
0.068,0.068,0.06430260047281323
0.07,0.07,0.06619385342789598
0.07200000000000001,0.07200000000000001,0.06808510638297872
0.074,0.074,0.06997635933806146
0.076,0.076,0.0718676122931442
0.078,0.078,0.07375886524822695
0.08,0.08,0.07565011820330969
0.082,0.082,0.07754137115839244
0.084,0.084,0.07943262411347518
0.08600000000000001,0.08600000000000001,0.08132387706855791
0.088,0.088,0.08321513002364064
0.09,0.09,0.08510638297872339
0.092,0.092,0.08699763593380613
0.094,0.094,0.08888888888888888
0.096,0.096,0.09078014184397162
0.098,0.098,0.09267139479905437
0.1,0.1,0.09456264775413711
0.10200000000000001,0.10200000000000001,0.09645390070921986
0.10400000000000001,0.10400000000000001,0.0983451536643026
0.106,0.106,0.10023640661938533
0.108,0.108,0.10212765957446808
0.11,0.11,0.10401891252955081
0.112,0.112,0.10591016548463356
0.114,0.114,0.1078014184397163
0.116,0.116,0.10969267139479905
0.11800000000000001,0.11800000000000001,0.11158392434988179
0.12,0.12,0.11347517730496452
0.122,0.122,0.11536643026004727
0.124,0.124,0.11725768321513001
0.126,0.126,0.11914893617021276
0.128,0.128,0.1210401891252955
0.13,0.13,0.12293144208037825
0.132,0.132,0.12482269503546099
0.134,0.134,0.12671394799054372
0.136,0.136,0.12860520094562647
0.138,0.138,0.13049645390070921
0.14,0.14,0.13238770685579196
0.14200000000000002,0.14200000000000002,0.1342789598108747
0.14400000000000002,0.14400000000000002,0.13617021276595745
0.146,0.146,0.13806146572104017
0.148,0.148,0.1399527186761229
0.15,0.15,0.14184397163120566
0.152,0.152,0.1437352245862884
0.154,0.154,0.14562647754137115
0.156,0.156,0.1475177304964539
0.158,0.158,0.14940898345153664
0.16,0.16,0.15130023640661938
0.162,0.162,0.15319148936170213
0.164,0.164,0.15508274231678487
0.166,0.166,0.15697399527186762
0.168,0.168,0.15886524822695036
0.17,0.17,0.16075650118203308
0.17200000000000001,0.17200000000000001,0.16264775413711582
0.17400000000000002,0.17400000000000002,0.16453900709219857
0.176,0.176,0.1664302600472813
0.178,0.178,0.16832151300236403
0.18,0.18,0.17021276595744678
0.182,0.182,0.17210401891252952
0.184,0.184,0.17399527186761227
0.186,0.186,0.175886524822695
0.188,0.188,0.17777777777777776
0.19,0.19,0.1796690307328605
0.192,0.192,0.18156028368794325
0.194,0.194,0.183451536643026
0.196,0.196,0.18534278959810874
0.198,0.198,0.18723404255319148
0.2,0.2,0.18912529550827423
0.202,0.202,0.19101654846335697
0.20400000000000001,0.20400000000000001,0.19290780141843972
0.20600000000000002,0.20600000000000002,0.19479905437352246
0.20800000000000002,0.20800000000000002,0.1966903073286052
0.21,0.21,0.19858156028368792
0.212,0.212,0.20047281323877067
0.214,0.214,0.20236406619385341
0.216,0.216,0.20425531914893616
0.218,0.218,0.2061465721040189
0.22,0.22,0.20803782505910162
0.222,0.222,0.20992907801418437
0.224,0.224,0.2118203309692671
0.226,0.226,0.21371158392434986
0.228,0.228,0.2156028368794326
0.23,0.23,0.21749408983451535
0.232,0.232,0.2193853427895981
0.234,0.234,0.22127659574468084
0.23600000000000002,0.23600000000000002,0.22316784869976358
0.23800000000000002,0.23800000000000002,0.22505910165484633
0.24,0.24,0.22695035460992904
0.242,0.242,0.2288416075650118
0.244,0.244,0.23073286052009453
0.246,0.246,0.23262411347517728
0.248,0.248,0.23451536643026002
0.25,0.25,0.23640661938534277
0.252,0.252,0.23829787234042552
0.254,0.254,0.24018912529550826
0.256,0.256,0.242080378250591
0.258,0.258,0.24397163120567375
0.26,0.26,0.2458628841607565
0.262,0.262,0.24775413711583924
0.264,0.264,0.24964539007092199
0.266,0.266,0.2515366430260047
0.268,0.268,0.25342789598108745
0.27,0.27,0.2553191489361702
0.272,0.272,0.25721040189125294
0.274,0.274,0.2591016548463357
0.276,0.276,0.26099290780141843
0.278,0.278,0.2628841607565012
0.28,0.28,0.2647754137115839
0.28200000000000003,0.28200000000000003,0.26666666666666666
0.28400000000000003,0.28400000000000003,0.2685579196217494
0.28600000000000003,0.28600000000000003,0.27044917257683215
0.28800000000000003,0.28800000000000003,0.2723404255319149
0.29,0.29,0.2742316784869976
0.292,0.292,0.27612293144208033
0.294,0.294,0.2780141843971631
0.296,0.296,0.2799054373522458
0.298,0.298,0.28179669030732857
0.3,0.3,0.2836879432624113
0.302,0.302,0.28557919621749406
0.304,0.304,0.2874704491725768
0.306,0.306,0.28936170212765955
0.308,0.308,0.2912529550827423
0.31,0.31,0.29314420803782504
0.312,0.312,0.2950354609929078
0.314,0.314,0.29692671394799053
0.316,0.316,0.2988179669030733
0.318,0.318,0.300709219858156
0.32,0.32,0.30260047281323876
0.322,0.322,0.3044917257683215
0.324,0.324,0.30638297872340425
