dataset,target,scenario,n_complete_units,n_observations,comparator,comparator_mae,cychrr_t_mae,delta_mae_tail_minus_comparator,delta_ci_low,delta_ci_high,absolute_difference_percentage_points,cychrr_t_wins
Graded-test temporal holdout,vo2r,all observations,84,682,scaled_linear,0.0508099430481455,0.0509500396903274,0.0001400966421818,-0.0007908647396279,0.0010668991120421,0.0140096642181881,39
Graded-test temporal holdout,vo2r,exclude each unit target maximum,84,598,scaled_linear,0.0534676322647416,0.0529109549887651,-0.0005566772759765,-0.0015976738939656,0.0005291130355404,-0.055667727597653,52
Graded-test temporal holdout,load_fraction,all observations,84,682,scaled_linear,0.0434806923536484,0.0398548278107159,-0.0036258645429324,-0.0050019103717094,-0.0021814184041807,-0.3625864542932463,55
Graded-test temporal holdout,load_fraction,exclude each unit target maximum,84,598,scaled_linear,0.0427118173979865,0.042737700121352,2.5882723365499004e-05,-0.001451809213879,0.001519239208184,0.0025882723365499,44
ACTES external validation,vo2r,all observations,18,1541,scaled_linear,0.0588314582322831,0.0578978127530714,-0.0009336454792117,-0.0020760143125677,0.0002907677717854,-0.0933645479211765,12
ACTES external validation,vo2r,exclude each unit target maximum,18,1523,scaled_linear,0.0586509626577111,0.0579280319383629,-0.0007229307193481,-0.0018956704948378,0.000515422604475,-0.0722930719348174,12
ACTES external validation,power_fraction,all observations,18,1541,scaled_linear,0.0861528818871531,0.0807314839833642,-0.0054213979037888,-0.0068369182557874,-0.0039065679509665,-0.5421397903788854,16
ACTES external validation,power_fraction,exclude each unit target maximum,18,1476,scaled_linear,0.087922058058547,0.0832043781951971,-0.0047176798633499,-0.0061520106849532,-0.0031395268833213,-0.4717679863349926,16
